phase,iteration,size,m,N,time,lower_0,lower_1,upper_0,upper_1
1,1,1161333861.6037421,16,100,0.06629853893537074,383001.82713536196,414177.14802444546,419495.5349430672,446000.0
1,2,5226955354.653418,54,100,0.19580621796194464,352706.0501568125,433909.8261839356,453050.4140115065,486000.0
1,3,11174780818.527912,61,100,0.31979595497250557,320674.1931701067,456959.7744620379,482533.17800762586,526000.0
1,4,18015954912.545918,54,100,0.4482377599924803,338522.8753361051,446296.71347804676,489027.9737006504,566000.0
1,5,23865685011.617126,74,100,0.5542887719348073,331066.7205054191,485442.6453338292,529027.9737006504,606000.0
1,6,35254093575.02732,69,100,0.6710622019600123,291066.7205054191,464351.1716559934,504845.44648794516,629260.4413365927
1,7,35004207108.686325,65,100,0.7939944819081575,319568.458995555,424351.1716559934,491181.29173736286,628323.1389584054
2,8,35004207108.686325,606,700,0.7963136259932071,319568.458995555,424351.1716559934,491181.29173736286,628323.1389584054
2,9,25136457493.883827,697,700,6.5916613979497924,322826.2799872424,478409.6062313124,491012.0551328374,627866.1073659875
2,10,24348953856.890125,698,700,6.824920274899341,322826.2799872424,483091.95012342796,491012.0551328374,627866.1073659875
2,11,23900853404.90435,700,700,6.982564089936204,322826.2799872424,485756.2685034923,491012.0551328374,627866.1073659875